id,name,name_id,url,country,date_live,date_added,usdt,fiat,auto,volume_usd,udate,volume_usd_adj
163,CryptoHub,cryptohub,https://cryptohub.online,,,2018-06-02 00:00:00,0,0,No,11031.98666540912,NA,11031.98666540912
164,FreiExchange,freiexchange,https://freiexchange.com,Norway,2016-01-01,2018-06-02 00:00:00,0,0,No,13223.51804862413,Recently,13223.51804862413
165,OEX,oex,https://www.oex.com/,,,2018-06-02 00:00:00,0,1,No,40517394.336475134,NA,0.0
166,Cryptonex,cryptonex,https://cryptonex.org,,,2018-06-03 00:00:00,0,1,No,814315.9704026601,Recently,814315.9704026601
167,Kyber Network,kyber.network,https://kyber.network/,,,2018-06-03 00:00:00,0,0,No,1235.5437324791,Recently,1235.5437324791
168,COSS,coss,https://www.coss.io/,Singapore,2017-01-01,2018-06-08 00:00:00,0,0,No,0.0,Recently,0.0
169,Switcheo Network,switcheo.network,https://switcheo.network,,2018-01-01,2018-06-08 00:00:00,0,0,No,12.694048045666,Lag,0.0
170,LATOKEN,latoken,https://latoken.com/,,2017-01-01,2018-06-09 00:00:00,0,0,No,48758393.103854954,Recently,4129248.7920251014
171,Upbit,upbit,https://upbit.com/,South Korea,2017-01-01,2018-06-12 00:00:00,0,1,No,1451959068.7378235,Recently,1030576727.5895978
172,CoinEx Market,coinexmarket,https://www.coinexmarket.io,,,2018-07-06 00:00:00,1,1,No,21667163.602071602,NA,21667163.602071602
173,BitShares Asset Exchange,bitsharesassetexchange,,,,2018-07-07 00:00:00,0,0,Yes,1622451.3765287797,Recently,0.0
174,HADAX,hadax,https://www.hadax.com/,,,2018-07-11 00:00:00,0,0,No,14204654.222593063,Lag,0.0
175,Coinrate,coinrate,https://coinrate.net/,,,2018-07-11 00:00:00,0,1,No,0.0,Lag,0.0
176,Fargobase,fargobase,https://fargobase.com/,,,2018-07-11 00:00:00,0,0,No,0.0,NA,0.0
177,Bitmart,bitmart,https://www.bitmart.com,Cayman Islands,2017-01-01,2018-07-11 00:00:00,1,0,No,661148696.6608771,Recently,329804128.39039576
178,Coinhub,coinhub,https://coinhub.io,Singapore,,2018-07-11 00:00:00,0,0,No,57922.72687616913,Lag,57922.72687616913
179,Cfinex,cfinex,https://cfinex.com/,,,2018-07-12 00:00:00,0,0,No,0.0,NA,0.0
180,BitForex,bitforex,https://bitforex.com,Seychelles,2018-01-01,2018-07-13 00:00:00,1,0,No,576311326.8267264,Recently,94374669.20901941
181,Stellarport,stellarport,https://stellarport.io/,,,2018-07-13 00:00:00,0,0,No,1741.2840438910496,Lag,1741.2840438910496
182,Bits Blockchain,bitsblockchain,https://bitsblockchain.com/,,,2018-07-13 00:00:00,0,0,No,54003.2368590563,Lag,0.0
183,AidosMarket,aidosmarket,https://aidosmarket.com/,,,2018-07-13 00:00:00,0,0,No,155417.57626154,Lag,155417.57626154
184,DOBI Trade,dobitrade,https://www.dobitrade.com/,,,2018-07-13 00:00:00,0,0,No,130876038.41031484,Lag,0.0
185,TCC Exchange,tccexchange,http://tccexchange.org,,,2018-07-13 00:00:00,0,0,No,0.0,NA,0.0
186,Ore.Bz,ore.bz,https://ore.bz/,,,2018-07-13 00:00:00,0,0,No,7.24999999983,NA,0.0
187,Coinbase Pro,coinbase,https://www.coinbase.com/,"San Francisco, California, United States",2012-06-20,2018-07-14 00:00:00,0,1,No,1705060864.9436858,Recently,3169825716.0462747
188,QBTC,qbtc,https://www.qbtc.com/,,,2018-07-18 00:00:00,1,1,No,0.0,Lag,0.0
189,Hotbit,hotbit,https://www.hotbit.io/,,,2018-07-18 00:00:00,1,0,No,199314389.02736232,Recently,104144100.61399966
190,DigiFinex,digifinex,https://www.digifinex.com/,Seychelles,2018-01-01,2018-07-18 00:00:00,1,0,No,1600886215.287317,Recently,332642366.20649654
191,Kryptono,kryptono,https://kryptono.exchange,SINGAPORE,2018-01-01,2018-09-19 00:00:00,1,0,No,0.0,Lag,0.0
192,Rfinex,rfinex,https://rfinex.com/,,,2018-09-20 00:00:00,0,0,No,0.0,Lag,0.0
193,CPDAX,cpdax,https://www.cpdax.com/,South Korea,2013-01-01,2018-09-20 00:00:00,0,1,No,1894.1253901812468,Lag,1894.1253901812468
194,BiteBTC,bitebtc,https://bitebtc.com,Singapore,2017-01-01,2018-09-20 00:00:00,0,1,No,0.0,Lag,0.0
195,Instant Bitex,instantbitex,https://instantbitex.com/,United Kingdom,2018-01-01,2018-09-20 00:00:00,1,0,No,302777.38421354,Lag,302777.38421354
196,Bitinka,bitinka,https://www.bitinka.com,,,2018-09-20 00:00:00,0,1,No,16865245.74486645,Recently,16865245.74486645
197,Allbit,allbit,https://allbit.com/,South Korea,2018-01-01,2018-09-20 00:00:00,0,0,No,0.0,Recently,0.0
198,TDAX,tdax,https://tdax.com/,Thailand,,2018-09-20 00:00:00,0,1,No,317977.97860092804,Recently,0.0
199,Bithesap,bithesap,https://www.bithesap.com/,,,2018-09-20 00:00:00,0,1,No,98517.32477685201,NA,98517.32477685201
200,Coinsuper,coinsuper,https://www.coinsuper.com/,Hong Kong,2017-01-01,2018-09-21 00:00:00,0,1,No,14294572.205847707,Recently,1588427.0764307382
201,IDCM,idcm,https://www.idcm.io/,Hong Kong,2017-01-01,2018-09-21 00:00:00,1,0,No,1151551564.943073,Lag,1927634.6077298438
202,Bilaxy,bilaxy,https://bilaxy.com/,,,2018-10-12 00:00:00,1,0,No,6598803.321098073,Recently,6598803.321098073
203,STEX,stex,https://www.stex.com/,,,2018-10-12 00:00:00,1,0,No,10431414.365932874,Recently,284411.4709836241
204,Tokenomy,tokenomy,https://tokenomy.com/,Singapore,2018-01-01,2018-10-12 00:00:00,0,0,No,615717.7930798107,Recently,615717.7930798107
205,CoinFalcon,coinfalcon,https://coinfalcon.com/,United Kingdom,2017-01-01,2018-10-12 00:00:00,0,1,No,498.49745387308377,Recently,498.49745387308377
206,TOPBTC,topbtc,https://topbtc.com/,Malta,2017-01-01,2018-10-12 00:00:00,1,0,No,450367497.52637184,Recently,375998.6051995249
207,InfinityCoin Exchange,infinitycoin-exchange,https://infinitycoin.exchange/,,,2018-10-12 00:00:00,0,0,No,0.0,Recently,0.0
208,Coinsquare,coinsquare,https://coinsquare.io/,,,2018-10-12 00:00:00,0,1,No,0.0,NA,0.0
