id,name,name_id,url,country,date_live,date_added,usdt,fiat,auto,volume_usd,udate,volume_usd_adj
178,Coinhub,coinhub,https://coinhub.io,Singapore,,2018-07-11 00:00:00,0,0,No,57922.72687616913,Lag,57922.72687616913
180,BitForex,bitforex,https://bitforex.com,Seychelles,2018-01-01,2018-07-13 00:00:00,1,0,No,818926449.8479202,Recently,136141698.24630725
187,Coinbase Pro,coinbase,https://www.coinbase.com/,"San Francisco, California, United States",2012-06-20,2018-07-14 00:00:00,0,1,No,2139769997.0833592,Recently,4038411500.956237
190,DigiFinex,digifinex,https://www.digifinex.com/,Seychelles,2018-01-01,2018-07-18 00:00:00,1,0,No,1917118536.1426866,Recently,404402694.76613104
191,Kryptono,kryptono,https://kryptono.exchange,SINGAPORE,2018-01-01,2018-09-19 00:00:00,1,0,No,0.0,Lag,0.0
193,CPDAX,cpdax,https://www.cpdax.com/,South Korea,2013-01-01,2018-09-20 00:00:00,0,1,No,1894.1253901812468,Lag,1894.1253901812468
194,BiteBTC,bitebtc,https://bitebtc.com,Singapore,2017-01-01,2018-09-20 00:00:00,0,1,No,0.0,Lag,0.0
195,Instant Bitex,instantbitex,https://instantbitex.com/,United Kingdom,2018-01-01,2018-09-20 00:00:00,1,0,No,302777.38421354,Lag,302777.38421354
197,Allbit,allbit,https://allbit.com/,South Korea,2018-01-01,2018-09-20 00:00:00,0,0,No,0.0,Recently,0.0
198,TDAX,tdax,https://tdax.com/,Thailand,,2018-09-20 00:00:00,0,1,No,317977.97860092804,Recently,0.0
200,Coinsuper,coinsuper,https://www.coinsuper.com/,Hong Kong,2017-01-01,2018-09-21 00:00:00,0,1,No,15534691.462996943,Recently,1752454.412131842
201,IDCM,idcm,https://www.idcm.io/,Hong Kong,2017-01-01,2018-09-21 00:00:00,1,0,No,1151551564.943073,Lag,1956918.2937497292
204,Tokenomy,tokenomy,https://tokenomy.com/,Singapore,2018-01-01,2018-10-12 00:00:00,0,0,No,686582.357941885,Recently,686582.357941885
205,CoinFalcon,coinfalcon,https://coinfalcon.com/,United Kingdom,2017-01-01,2018-10-12 00:00:00,0,1,No,351.7480065420488,Recently,351.7480065420488
206,TOPBTC,topbtc,https://topbtc.com/,Malta,2017-01-01,2018-10-12 00:00:00,1,0,No,449660214.54481983,Recently,381111.1326270795
209,Bitrue,bitrue,https://www.bitrue.com/,Singapore,2018-01-01,2018-10-12 00:00:00,1,0,No,1788167829.7586358,Recently,285010714.26916075
211,CoinsBank,coinsbank,https://coinsbank.com/,Estonia,,2018-10-12 00:00:00,0,1,No,0.0,Recently,0.0
215,Coindelta,coindelta,https://coindelta.com/,Indian,2017-01-01,2018-10-27 00:00:00,0,1,No,2597.685379138373,NA,2597.685379138373
217,Safe.Trade,safe.trade,https://www.safe.trade/,Canada,2018-01-01,2018-11-26 00:00:00,0,0,No,19541.74824613944,Recently,19541.74824613944
218,Raisex,raisex,https://www.raisex.io/,Malta,2017-01-01,2018-12-14 00:00:00,0,0,No,5378315.560273007,Lag,5378315.560273007
220,Graviex,graviex,https://graviex.net/,Russia,2017-01-01,2018-12-18 00:00:00,0,0,No,132014.97441826374,Recently,132014.97441826374
222,BW,bw.com,https://www.bw.com/,Australia,2017-01-01,2019-01-17 00:00:00,1,0,No,49341591.45730736,Recently,325277.0062723168
223,Coineal,coineal,https://www.coineal.com/,Seychelles,2018-01-01,2019-01-17 00:00:00,1,0,No,62510372.77809199,Recently,746373.9672191627
224,Coinmex,coinmex,https://www.coinmex.com/,Belize,2018-01-01,2019-01-17 00:00:00,1,0,No,0.0,Lag,0.0
225,TOKOK,tokok,https://www.tokok.com/,British Virgin Islands,2018-01-01,2019-01-17 00:00:00,1,0,No,326655389.3766731,Recently,414673.2274409592
227,GDAC,gdac,https://www.gdac.com,South Korea,2018-01-01,2019-01-17 00:00:00,0,1,No,800911.3292646271,Recently,800911.3292646271
228,Cryptology,cryptology,https://cryptology.com/,Singapore,2018-01-01,2019-01-17 00:00:00,0,1,No,30932721.744209845,Recently,1052105.585192726
229,WazirX,wazirx,https://wazirx.com/,India,2018-01-01,2019-01-17 00:00:00,1,0,No,49088727.638911374,Recently,91434641.89040974
230,P2PB2B,p2pb2b,https://p2pb2b.io/,Estonia,2018-01-01,2019-01-17 00:00:00,0,1,No,560729564.727823,Recently,33275846.593768887
231,BitexLive,bitexlive,https://bitexlive.com,Turkey,,2019-01-23 00:00:00,1,0,No,34329.1085944057,Lag,34329.1085944057
232,3XBIT,3xbit,https://www.3xbit.com.br/,Brazil,,2019-01-26 00:00:00,0,0,No,940.70329211409,Lag,940.70329211409
236,AltMarkets,altmarkets,https://altmarkets.io/,UK,2018-07-01,2019-02-01 00:00:00,0,0,No,0.0,Lag,0.0
237,Cratex,cratex,https://cratex.io,Turkey,2018-09-01,2019-02-07 00:00:00,0,0,No,644.6068912735278,Recently,644.6068912735278
241,ChainEx,chainex,https://www.chainex.io,South African,2018-01-01,2019-02-15 00:00:00,1,1,No,47.34233885481,Recently,47.34233885481
242,OMGFIN,omgfin,https://omgfin.com,"Estonia, EU",2018-10-10,2019-02-15 00:00:00,1,0,No,58932137.63854876,Recently,6973101.189127003
243,AlphaEX,alphaex,https://alphaex.net/,Malta,2017-01-01,2019-02-16 00:00:00,1,0,No,0.0,Recently,0.0
244,Bkex,bkex,https://www.bkex.com/,British Virgin Islands,2018-01-01,2019-04-14 00:00:00,1,0,No,1390497800.3677907,Recently,87505702.90818311
245,Dcoin,dcoin,https://www.dcoin.com/,Switzerland,2018-01-01,2019-04-14 00:00:00,1,0,No,509875740.8950496,Recently,16304121.853049833
246,Coinlim,coinlim,https://www.coinlim.com/,Singapore,2018-01-01,2019-04-14 00:00:00,1,0,No,80135373.40269974,Lag,0.0
249,ZBG,zbg,https://www.zbg.com,Hong Kong,2018-07-01,2019-04-22 00:00:00,1,0,No,5330001183.929456,Recently,233650956.40388685
254,Anycoin Direct,anycoindirect,https://anycoindirect.eu,Netherlands,,2019-05-28 00:00:00,0,1,No,432706.53526944946,Recently,432706.53526944946
258,Huobi Korea,huobi-korea,https://www.huobi.co.kr/,Korea,,2019-08-27 00:00:00,1,1,Yes,526196073.4663211,Lag,814764.700141878
461,Yunex.io,yunex-io,https://yunex.io/,British Virgin Islands,2018-01-01,2019-09-10 03:16:18,1,0,No,8794477.931421848,Lag,8794477.931421848
462,Vbitex,vbitex,http://www.vbitex.com,Seychelles,2017-01-01,2019-09-10 03:16:19,0,0,No,0.0,NA,0.0
463,IQFinex,iqfinex,https://www.iqfinex.com/,Switzerland,2018-01-01,2019-09-10 03:16:21,0,0,No,0.0,Lag,0.0
464,Daybit,daybit,https://daybit.com,South Korea,2018-01-01,2019-09-10 03:16:22,0,0,No,3100.5710513204704,Lag,0.0
465,Coinpark,coinpark,https://www.coinpark.com/,China,2018-01-01,2019-09-10 03:16:24,1,0,No,49217782.7585805,Recently,49217782.7585805
466,FCoin,fcoin,https://www.fcoin.com/,China,2018-01-01,2019-09-10 03:16:25,1,0,No,5142.7777247799995,Lag,0.0
467,Newdex,newdex,https://newdex.io/,Cayman Islands,2018-01-01,2019-09-10 03:16:26,0,0,No,29465.737197656832,Recently,29465.737197656832
468,Bitsonic,bitsonic,https://bitsonic.co.kr,South Korea,2018-01-01,2019-09-10 03:16:28,0,0,No,903139.4201848435,Lag,0.0
469,CITEX,citex,https://www.citex.co.kr/#/home,South Korea,2018-01-01,2019-09-10 03:16:29,1,0,No,6914276587.295528,Lag,975836549.5670003
470,qTrade,qtrade,https://qtrade.io,United States,,2019-09-10 03:16:31,0,0,No,57144.28311592741,Recently,57144.28311592741
471,Swiftex,swiftex,https://trade.swiftex.co,United Kingdom,2018-01-01,2019-09-10 03:16:32,0,0,No,0.0,Lag,0.0
472,CoinAll,coinall,https://www.coinall.com/,Hong Kong,2014-01-01,2019-09-10 03:16:34,1,0,No,3154522.5285975467,Lag,3154522.5285975467
473,Bgogo,bgogo,https://bgogo.com/,Cayman Islands,2018-01-01,2019-09-10 03:16:35,1,0,No,4481802.720870688,Recently,4481802.720870688
474,COINBIG,coinbig,https://www.coinbig.org/,Cayman Islands,2017-01-01,2019-09-10 03:16:37,1,0,No,48904560.622389615,Lag,48904560.622389615
475,BitRabbit,bitrabbit,https://bitrabbit.com/,Australia,,2019-09-10 03:16:38,1,0,No,0.0,Lag,0.0
476,Tideal,tideal,https://tideal.com/,Hong Kong,2018-01-01,2019-09-10 03:16:39,0,0,No,0.0,NA,0.0
477,Vinex,vinex,https://vinex.network,Singapore,2018-01-01,2019-09-10 03:16:41,0,0,No,193045.02812978692,Lag,193045.02812978692
